"Timestamp","What is your gender ?","What is your marital status","Who do you stay with ?","What is your highest education level","What kind of movies do you watch ?","What is your age range","What is your country of origin?","What is your town/city/province of origin?","Where are you currently staying?","State the languages that you can speak fluently","What is your religion","What is your mood today ?","What is the current situation around you ?","Do you have mental stress ?","Are you currently studying ?","Are you expecting any upcoming event in the next two weeks ?","What is your emotional state today ?","Which location best describes where you stay ?  ","State your area of expertise(e.g art or engineering)","What is your income range per month in US$","State the model of the device that you are using to answer these questions(e.g mobile: Nokia 5, laptop: dell latitude 3340)","Sports [Sports]","Technology [Technology]","News [News]","Music [Music]","Hobbies [Hobbies]","Food [Food Types]"
"2019/02/12 12:08:26 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Sci-fi;comedy","31-35","Zimbabwe","Mashonaland west","Bindura","Shona, English","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","Procurement","1001-10 000","Mecer desktop","Atheletics;Soccer","Information Technology","sport news;Investigative News;Business News","sungura;Dance Hall;Country","reading;fishing","Cereals;Seafood"
"2019/02/12 12:08:40 PM GMT+2","Male","Married","Immediate Family","Tertiary","Religious;comedy;Action","21-25","Zimbabwe","Chinhoyi/Mashonaland West Province","Brundish Chinhoyi","Shona, english, Ndebele","Christianity","good","peaceful;hopeful;good","No","Yes","Yes","Joyful","Medium Density","engineering","101-1 000","Laptop","Soccer","Information Technology;Sensors;Transport;Art & Music;Appliances;Industrial Machines;Robotics;Artificial Intelligence","sport news;Tech News;Business News","Gospel/religious;Dance Hall;Reggae;House","Dance Hall;singing","Dairy products"
"2019/02/12 12:10:10 PM GMT+2","Female","Single","Immediate Family","Professional","Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Harare","Chinhoyi","English, Shona","Christianity","good","peaceful;good","No","Yes","Yes","Joyful","High Density","Information Technology","101-1 000","Lenovo T350","Atheletics;Soccer;Rugby;Cricket;Others","Information Technology;Artificial Intelligence","sport news;Lifestyle/entertainment;Profiles","Gospel/religious;Dance Hall","Cooking;e-gaming;sporting;watching TV","Edible nuts and seeds;Breads;Dairy products;Eggs;Cereals"
"2019/02/12 12:13:59 PM GMT+2","Male","Single","Extended family","Tertiary","Sci-fi","21-25","Zimbabwe ","Harare","Harare","English ","Christianity","good","good","No","Yes","No","Joyful","Medium Density","Engineering ","101-1 000","Samsung Note 3","Atheletics","Information Technology","Lifestyle/entertainment","Gospel/religious","reading","legumes"
"2019/02/12 12:15:05 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action","31-35","Zimbabwe","Chinhoyi","Chinhoyi","Shona, English","Christianity","frustrated;depressed;bad","peaceful","Yes","Yes","No","sorrowful","Low Density","Engineering","101-1 000","Laptop","Atheletics;Rugby;Cricket;Others","Information Technology;Sensors;Energy;Agriculture;Architecture;Entertainment & Media;Art & Music;Appliances;Industrial Machines;Clothing & Accessories;Medical Technology;Science;Robotics;Artificial Intelligence","hard news;sport news;editorial/column;feature news;Lifestyle/entertainment;Profiles;Investigative News;Tech News;Crime News;Business News","sungura;jazz;Rnb","Cooking;Mountain climbing;fishing;e-gaming;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 12:16:18 PM GMT+2","Male","Single","Immediate Family","Tertiary","Action","26-30","Zimbabwe","KWEKWE","Harare","English and Shona ","Christianity","good","good","No","Yes","No","Joyful","Medium Density","Marketing ","101-1 000","Dell E7440","Atheletics;Soccer","Information Technology;Artificial Intelligence","sport news;Tech News;Business News","Gospel/religious;sungura;jazz;House","Mountain climbing;reading;sporting","Meat;Cereals;Seafood"
"2019/02/12 12:17:32 PM GMT+2","Female","Single","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action","46-50","Zimbabwe","CHIvhu","chinhoyi","english, shona","Christianity","good","good","Yes","Yes","Yes","fearful","Low Density","computing","1001-10 000","laptop Lenovo","Soccer;Tennis;Swimming","Information Technology;Agriculture;Entertainment & Media","sport news;editorial/column;feature news;Lifestyle/entertainment;Profiles;Investigative News;Crime News;Business News","Gospel/religious;jazz;Rnb;Reggae;Country;House","reading;fishing;e-gaming;watching TV","Edible nuts and seeds;Eggs;Meat"
"2019/02/12 12:26:59 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;comedy;Romance;Action","26-30","Zimbabwe","Mutare","Harare","English,Shona","Christianity","good","good","No","Yes","Yes","Joyful","High Density","IT","1001-10 000","laptop: hp probook 650","Soccer;Cricket","Information Technology","sport news","Gospel/religious;sungura;Rnb;Dance Hall","sporting;watching TV","Edible nuts and seeds;Dairy products;Eggs;Meat"
"2019/02/12 12:29:07 PM GMT+2","Male","Single","Sibling(s)","Tertiary","Documentaries;Sci-fi;comedy;Action","26-30","Zimbabwe ","Harare","Zimbabwe ","english","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","IT","1001-10 000","Lptop","Rugby;Swimming","Information Technology;Entertainment & Media","hard news;feature news;Lifestyle/entertainment","pop;Rnb;Dance Hall;Reggae","reading;e-gaming;sporting;watching TV","Baked goods;Dairy products;Eggs;Meat"
"2019/02/12 12:44:46 PM GMT+2","Male","Single","Immediate Family","Professional","Sci-fi;comedy;Action","21-25","zimbabwe","harare","domboshava","shona, english, zimbabwean sign language","Christianity","good","hopeful","No","No","No","Joyful","Rural","IT and Electronics","101-1 000","galaxy s7 edge","Others","Information Technology;Sensors;Robotics;Artificial Intelligence","Tech News;Business News","Dance Hall;Reggae;House","reading;e-gaming","legumes;Edible plants;Baked goods;Breads;Meat"
"2019/02/12 12:45:30 PM GMT+2","Male","Married","Immediate Family","Tertiary","Action","36-40","Zimbabwe","Harare","Chinhoyi University","shona,english","Christianity","depressed","peaceful","No","No","Yes","Joyful","Low Density","networking","1001-10 000","laptop","Soccer","Information Technology","sport news","jazz","fishing","Baked goods"
"2019/02/12 12:47:17 PM GMT+2","Female","Married","Immediate Family","Professional","comedy","41-45","Zimbabwe","Harare","Harare","Shona and English","Christianity","good","hopeful","No","Yes","No","fearful","Low Density","database management","1001-10 000","laptop: cyberpower","Swimming;Others","Information Technology;Clothing & Accessories;Science","feature news;Lifestyle/entertainment;Profiles;Tech News;Business News","Gospel/religious;pop;Rnb;House","Cooking;singing","Edible plants;Edible nuts and seeds;Baked goods;Meat;Cereals"
"2019/02/12 12:58:55 PM GMT+2","Male","Married","Immediate Family;Extended family","Professional","Documentaries","41-45","Zimbabwe","Mutare","Harare","English, Shona","Christianity","good","hopeful","No","Yes","No","Joyful","Low Density","Data Management","1001-10 000","Laptop: Lenovo","Atheletics;Soccer","Information Technology","hard news;Tech News;Business News","Gospel/religious;sungura;jazz","Mountain climbing;reading;sporting;watching TV","Meat;Cereals;Seafood"
"2019/02/12 1:02:03 PM GMT+2","Male","Single","Alone","Tertiary","Documentaries;comedy;Romance;Action","26-30","Zimbabwe","Mashonaland   East","Harare","Shona, English","Christianity","good","peaceful","Yes","Yes","Yes","Joyful","Low Density","Machine Learning","101-1 000","Samsung Galaxy J5","Soccer","Information Technology","sport news;Investigative News","Gospel/religious;Dance Hall;Reggae;Country;House","Mountain climbing;reading;sporting;Dance Hall","legumes;Edible nuts and seeds;Eggs;Meat;Cereals"
"2019/02/12 1:03:14 PM GMT+2","Male","Single","Friend(s)","Tertiary","Sci-fi","26-30","zimbabwe","mashonaland east","harare ","shona english","Christianity","good","peaceful","Yes","Yes","Yes","Joyful","Low Density","engineering","101-1 000","laptop :toshiba corei3","Soccer","Information Technology;Sensors;Agriculture","sport news;Business News","Gospel/religious;Dance Hall;Reggae;Electronic","Mountain climbing;reading","Edible nuts and seeds;Breads;Dairy products;Meat"
"2019/02/12 1:04:08 PM GMT+2","Male","Married","Immediate Family","Tertiary","none","36-40","zimbabwe","Mashonaland West","Harare","Shona, English","Christianity","frustrated","peaceful","No","Yes","No","Joyful","High Density","computer science","1001-10 000","laptop","Others","Information Technology;Medical Technology;Science;Robotics;Artificial Intelligence","Tech News","Reggae","reading","legumes;Meat;Cereals;Seafood"
"2019/02/12 1:13:48 PM GMT+2","Male","Married","Immediate Family","Professional","Religious;comedy","31-35","Zimbabwe","Manicaland","Chinhoyi","Shona, English, Nyanja","Christianity","depressed","threatening","Yes","Yes","No","fearful","Low Density","IT","1001-10 000","Laptop: Acer Aspire 5349","Soccer;Tennis","Information Technology;Sensors;Energy;Agriculture;Industrial Machines","sport news;Investigative News;Tech News;Crime News","Gospel/religious","reading;sporting","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 1:14:14 PM GMT+2","Male","Married","Immediate Family","Tertiary","Sci-fi;comedy;Romance;Action","31-35","Zimbabwe","Bulawayo","Harare","English ,Shona Ndebele","Christianity","good","peaceful;hopeful;good","No","Yes","Yes","Joyful","Low Density","Information Techonology","1001-10 000","Laptop:Lenovo p51s","Atheletics;Soccer","Information Technology;Sensors;Entertainment & Media","Lifestyle/entertainment;Tech News;Business News","Rnb;Country","reading;watching TV","legumes;Eggs;Meat;Cereals"
"2019/02/12 1:39:17 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","31-35","Zimbabwe","Mashonaland East","Harare","English, Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","Low Density","Mathematics","101-1 000","ThinkPad Core i5","Soccer","Information Technology","hard news;sport news","Rnb;Dance Hall","sporting","Edible nuts and seeds;Meat"
"2019/02/12 1:48:58 PM GMT+2","Male","Married","Immediate Family;Extended family","Tertiary","Religious","31-35","Zimbabwe","Gweru","Chinhoyi","English / Shona","Christianity","good","chaotic;hopeful;good","No","Yes","No","Joyful","High Density","Computer Science","1001-10 000","dell inspiron 15 5000","Others","Information Technology","hard news","Gospel/religious","fishing;singing","Edible plants;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 1:52:07 PM GMT+2","Male","Married","Immediate Family","Tertiary","Action","36-40","Zimbabwe","Harare","Harare","Shona","Christianity","good","good","No","Yes","No","Joyful","High Density","ICT","1001-10 000","PH ProBook","Soccer","Information Technology","sport news","Gospel/religious;sungura","sporting","legumes;Breads;Eggs"
"2019/02/12 1:53:16 PM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries;Religious;comedy","36-40","Zimbabwe","Hurungwe","Harare","English, Shona","Christianity","good","hopeful","Yes","Yes","Yes","fearful","Low Density","Design","1001-10 000","Samsung S7","Swimming","Information Technology","Investigative News;Tech News;Business News","Gospel/religious;jazz","Cooking;Mountain climbing;reading;singing","legumes;Edible plants;Edible nuts and seeds;Eggs;Meat"
"2019/02/12 2:16:41 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","36-40","Zimbabwe","Chinhoyi","Chinhoyi","Shona , English","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","Engineering","1001-10 000","Laptop","Atheletics","Information Technology","hard news;Tech News;Business News","Gospel/religious;sungura;jazz;Rnb;Reggae;House","reading","legumes;Eggs;Meat;Cereals"
"2019/02/12 2:17:09 PM GMT+2","Male","Married","Immediate Family","Tertiary","comedy;Romance;Action","36-40","Zimbabwe","Chitungwiza","Gaborone","English, chishona, setswana","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","Science ","1001-10 000","Samsung s8+","Tennis","Artificial Intelligence","feature news;Tech News;Business News","Rnb","sporting","Meat"
"2019/02/12 2:20:15 PM GMT+2","Male","Married","Immediate Family","Tertiary","Religious;comedy;Romance;Action","36-40","Zimbabwe","Gokwe","Chinhoyi Universitity of Technology","English, shona and Ndebele","Christianity","good","peaceful;hopeful;good","No","Yes","No","Joyful","Medium Density","Information Technology ","101-1 000","Laptop: HP Spectre","Atheletics;Soccer;Tennis;Cricket","Information Technology;Artificial Intelligence","hard news;sport news;feature news;Tech News;Business News","Gospel/religious;sungura;Rnb;Reggae;Country;House","Cooking;reading;sporting;watching TV","Breads;Dairy products;Eggs;Meat"
"2019/02/12 2:26:03 PM GMT+2","Male","Married","Immediate Family","Tertiary","Sci-fi;Action","31-35","zimbabwe","masvingo","bulawayo","shona, english","Christianity","good","hopeful","No","Yes","No","Joyful","Low Density","taxation","1001-10 000","laptop: lenovo thinkpad E580 edge","Atheletics;Soccer;Rugby;Tennis;Cricket","Information Technology;Science;Artificial Intelligence","sport news;Tech News;Business News","Rnb;Dance Hall","reading;sporting;watching TV","Eggs;Meat"
"2019/02/12 2:26:30 PM GMT+2","Male","Married","Immediate Family","Tertiary","Sci-fi;Action","Above 50","United States","BEAVERCREEK","Ethiopia, Gondar","English - American","Christianity","good","peaceful","No","Yes","Yes","Joyful","Medium Density","computer science","1001-10 000","Dell M6700","Soccer;Cricket","Information Technology;Sensors;Agriculture","hard news;editorial/column;Investigative News;Tech News;Business News","pop;jazz;House;Electronic","reading;e-gaming","Edible plants;Edible nuts and seeds;Baked goods;Breads;Eggs;Meat;Seafood"
"2019/02/12 2:40:30 PM GMT+2","Male","Married","Immediate Family;Extended family;Sibling(s)","Tertiary","Documentaries;Religious","36-40","zimbabwe","Manicaland","Harare","English and Shona","Christianity","good","hopeful","No","Yes","No","Joyful","High Density","administration","101-1 000","desktop HP","Others","Information Technology;Agriculture","hard news","Gospel/religious","reading;watching TV","legumes;Meat"
"2019/02/12 2:45:06 PM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Religious;comedy","Above 50","Zimbabwe","Chinhoyi","Chinhoyi","ChiShona and English","Christianity","good","good","No","Yes","Yes","Joyful","Medium Density","Information Management","1001-10 000","Desktop","Soccer;Others","Information Technology;Science;Artificial Intelligence","hard news;sport news;editorial/column;feature news;Investigative News;Crime News;Business News","Gospel/religious;sungura;jazz;Reggae;Country","reading;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 2:49:03 PM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Action","Above 50","Zimbabwe","Mutare","Harare","Shona, English","Christianity","envious;frustrated;depressed;bad;good","threatening;dangerous;peaceful;chaotic;good","No","Yes","No","Joyful","High Density","IT","101-1 000","Desktop","Soccer;Others","Information Technology;Agriculture;Architecture;Medical Technology;Science;Robotics;Artificial Intelligence","hard news;editorial/column;Investigative News;Tech News;Business News","Gospel/religious;pop;rock;jazz;Rnb;Reggae","reading;watching TV","legumes;Edible plants;Edible nuts and seeds;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 2:52:39 PM GMT+2","Male","Married","Sibling(s)","Tertiary","Religious","31-35","ZIMBABWE","HARARE","HARARE","ENGLISH AND SHONA","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","ACCOUNTING ","1001-10 000","DESK TOP COMPUTER ","Others","Information Technology","feature news","Gospel/religious","reading","legumes"
"2019/02/12 2:55:51 PM GMT+2","Female","Married","Immediate Family","Professional","Documentaries;Religious;comedy;Romance;Action","36-40","ZIMBABWE","CHINHOYI","TOWN","SHONA,ENGLISH","Christianity","good","peaceful","No","No","Yes","Joyful","High Density","PSYCHOLOGY","101-1 000","DELL LATITUDE","Atheletics;Soccer;Rugby","Information Technology;Agriculture;Entertainment & Media","hard news;sport news;Lifestyle/entertainment;Profiles;Investigative News","Gospel/religious;sungura;jazz;Reggae","Cooking;fishing;singing;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 2:57:25 PM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries;Religious","41-45","Zimbabwe","Chinhoyi","Chinhoyi University","Shona","Christianity","good","hopeful","Yes","Yes","Yes","fearful","Low Density","I.T","1001-10 000","LAPTOP","Others","Information Technology;Entertainment & Media;Art & Music;Artificial Intelligence","feature news;Lifestyle/entertainment;Tech News","Gospel/religious;Rnb","Cooking;fishing;watching TV","Baked goods;Meat;Cereals"
"2019/02/12 3:01:58 PM GMT+2","Male","Married","Immediate Family","Professional","soccer","41-45","Zimbabwe","Rusape","Harare","English, Shona","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","statistics","101-1 000","laptop: HP ProBook 430","Others","Information Technology","sport news","Gospel/religious","reading","Cereals"
"2019/02/12 3:05:44 PM GMT+2","Female","Married","alone","Tertiary","Religious","31-35","zimbabwe","masvingo","south africa","english, shona, ndebele","Christianity","good","hopeful","Yes","Yes","No","Joyful","Low Density","engineering","101-1 000","samsung j7","Soccer","Industrial Machines","Investigative News","Gospel/religious","Cooking;reading","Baked goods;Dairy products;Meat"
"2019/02/12 3:12:25 PM GMT+2","Male","Single","Immediate Family","Tertiary","Sci-fi","31-35","zimbabwe","harare","harare","english and shona","Christianity","envious","hopeful","No","Yes","No","Joyful","Medium Density","computer science","101-1 000","laptop:lenovo t540p","Soccer;Others","Information Technology;Sensors;Medical Technology;Science;Robotics;Artificial Intelligence","hard news;sport news;Tech News","Gospel/religious;Dance Hall","reading;e-gaming","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Meat;Cereals"
"2019/02/12 3:14:14 PM GMT+2","Female","Married","Immediate Family","Professional","comedy","41-45","Zimbabwe","Marondera","Harare","English Shona","Christianity","frustrated;good","deceptive;good","Yes","Yes","Yes","Joyful","Low Density","Information Systems","101-1 000","desktop: HP EliteDesk 800","Atheletics;Others","Information Technology","Lifestyle/entertainment;Tech News;Business News","Gospel/religious;jazz","Cooking;Dance Hall","Edible plants;Edible nuts and seeds;Baked goods;Meat"
"2019/02/12 3:16:36 PM GMT+2","Male","Single","Immediate Family","Professional","Sci-fi;comedy;Action","26-30","Zimbabwe","Harare","Chitungwiza","Shona, English","Christianity","depressed;bad","threatening","Yes","Yes","Yes","fearful;sorrowful","High Density","Information Technology","1001-10 000","Huawei P10","Soccer;Cricket","Information Technology;Entertainment & Media;Science;Robotics;Artificial Intelligence","hard news;sport news;editorial/column;Investigative News;Tech News;Crime News;Business News","Gospel/religious;pop;rock;sungura;jazz;Rnb;Dance Hall;Reggae;House;Electronic","Cooking;reading;e-gaming;sporting;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/12 3:21:43 PM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Romance;Action","Above 50","Zimbabwe","Chinhoyi","Brundish","English/Shona","Christianity","frustrated","chaotic","No","Yes","No","fearful","Medium Density","Art/Management","1001-10 000","Dell desktop","Soccer","Information Technology;Transport;Entertainment & Media","hard news;sport news;Business News","Gospel/religious;Reggae;Country","fishing;watching TV","legumes;Edible plants;Edible nuts and seeds;Breads;Eggs;Meat;Cereals;Seafood"
"2019/02/12 3:22:18 PM GMT+2","Male","Married","Extended family","Tertiary","Documentaries;Religious","31-35","Zimbabwe","Manicaland","Chinhoyi","Shona English","Christianity","depressed","deceptive","Yes","Yes","Yes","fearful","Medium Density","Biological science","101-1 000","laptop: HP","Soccer;Cricket","Information Technology;Agriculture","Profiles;Tech News","Gospel/religious;sungura","reading","legumes;Edible plants;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 3:40:25 PM GMT+2","Female","Married","Immediate Family","Tertiary","Religious","46-50","Zimbabwe","Chinhoyi","Chinhoyi","both English and Shona","Christianity","good","hopeful","No","Yes","No","Joyful","Low Density","Administration","1001-10 000","Acer desktop","Tennis","Information Technology","hard news","Gospel/religious","Cooking","Baked goods"
"2019/02/12 4:14:10 PM GMT+2","Female","Married","Immediate Family;Extended family","Tertiary","Documentaries;Religious;Romance","31-35","Zimbabwe","Gweru Midlands","Chinhoyi","English Shona and Ndebele","Christianity","good","peaceful;hopeful","No","No","Yes","Joyful","Low Density","Engineering","1001-10 000","HP Probook","Others","Science","feature news;Tech News","Gospel/religious","Cooking;singing","legumes;Edible plants;Edible nuts and seeds;Breads;Eggs;Cereals"
